"dguid","char","period","total","o","om","onm","r","rs","rns"
1307005,"3.1% or over","Before 2016",45,45,45,0,0,0,0
1307005,"3.1% or over","2016 to 2021",20,20,20,0,0,0,0
1307007,"Total","Total",1010,775,420,355,240,20,220
1307007,"Total","Before 2016",945,775,420,355,170,0,155
1307007,"Total","2016 to 2021",65,0,0,0,65,0,55
1307007,"1+ person with limitation","Total",125,115,80,35,0,0,0
1307007,"1+ person with limitation","Before 2016",125,115,80,35,0,0,0
1307007,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307007,"Veteran in household","Total",25,20,15,0,0,0,0
1307007,"Veteran in household","Before 2016",25,20,15,0,0,0,0
1307007,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307007,"0.5% or under","Total",205,175,0,175,25,0,25
1307007,"0.5% or under","Before 2016",205,175,0,175,25,0,25
1307007,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307007,"0.6% to 1.25%","Total",415,310,135,170,105,0,90
1307007,"0.6% to 1.25%","Before 2016",415,310,135,170,105,0,90
1307007,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307007,"1.26% to 2%","Total",330,225,220,0,105,0,95
1307007,"1.26% to 2%","Before 2016",265,225,220,0,40,0,35
1307007,"1.26% to 2%","2016 to 2021",65,0,0,0,65,0,55
1307007,"2.1% to 3%","Total",55,50,50,0,0,0,0
1307007,"2.1% to 3%","Before 2016",55,50,50,0,0,0,0
1307007,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307007,"3.1% or over","Total",0,0,0,0,0,0,0
1307007,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307007,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307008,"Total","Total",485,460,260,200,25,0,25
1307008,"Total","Before 2016",455,430,235,195,25,0,25
1307008,"Total","2016 to 2021",30,30,25,0,0,0,0
1307008,"1+ person with limitation","Total",50,45,40,0,0,0,0
1307008,"1+ person with limitation","Before 2016",40,35,30,0,0,0,0
1307008,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307008,"Veteran in household","Total",40,40,25,15,0,0,0
1307008,"Veteran in household","Before 2016",35,35,20,15,0,0,0
1307008,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307008,"0.5% or under","Total",165,150,0,145,0,0,0
1307008,"0.5% or under","Before 2016",155,145,0,145,0,0,0
1307008,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307008,"0.6% to 1.25%","Total",140,125,80,45,0,0,0
1307008,"0.6% to 1.25%","Before 2016",140,125,80,45,0,0,0
1307008,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307008,"1.26% to 2%","Total",110,110,110,0,0,0,0
1307008,"1.26% to 2%","Before 2016",110,110,110,0,0,0,0
1307008,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307008,"2.1% to 3%","Total",55,55,55,0,0,0,0
1307008,"2.1% to 3%","Before 2016",40,40,40,0,0,0,0
1307008,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307008,"3.1% or over","Total",0,0,0,0,0,0,0
1307008,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307008,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307009,"Total","Total",2655,1750,1000,750,915,45,860
1307009,"Total","Before 2016",2525,1725,980,745,805,40,760
1307009,"Total","2016 to 2021",130,25,20,0,105,0,100
1307009,"1+ person with limitation","Total",365,250,190,60,115,0,105
1307009,"1+ person with limitation","Before 2016",355,250,185,60,110,0,100
1307009,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307009,"Veteran in household","Total",230,150,75,80,80,0,75
1307009,"Veteran in household","Before 2016",210,150,70,80,65,0,60
1307009,"Veteran in household","2016 to 2021",15,0,0,0,0,0,0
1307009,"0.5% or under","Total",260,200,0,190,60,0,50
1307009,"0.5% or under","Before 2016",255,200,0,190,55,0,50
1307009,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307009,"0.6% to 1.25%","Total",1145,690,180,505,455,35,420
1307009,"0.6% to 1.25%","Before 2016",1115,685,180,500,430,35,400
1307009,"0.6% to 1.25%","2016 to 2021",30,0,0,0,25,0,25
1307009,"1.26% to 2%","Total",795,500,455,45,295,0,295
1307009,"1.26% to 2%","Before 2016",775,495,450,45,280,0,280
1307009,"1.26% to 2%","2016 to 2021",20,0,0,0,20,0,20
1307009,"2.1% to 3%","Total",355,275,265,0,85,0,85
1307009,"2.1% to 3%","Before 2016",295,265,260,0,25,0,25
1307009,"2.1% to 3%","2016 to 2021",60,0,0,0,60,0,60
1307009,"3.1% or over","Total",100,90,90,0,0,0,0
1307009,"3.1% or over","Before 2016",90,85,85,0,0,0,0
1307009,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307011,"Total","Total",195,185,90,95,0,0,0
1307011,"Total","Before 2016",195,185,90,95,0,0,0
1307011,"Total","2016 to 2021",0,0,0,0,0,0,0
1307011,"1+ person with limitation","Total",15,15,0,0,0,0,0
1307011,"1+ person with limitation","Before 2016",15,15,0,0,0,0,0
1307011,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307011,"Veteran in household","Total",15,15,0,15,0,0,0
1307011,"Veteran in household","Before 2016",15,15,0,15,0,0,0
1307011,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307011,"0.5% or under","Total",55,55,0,55,0,0,0
1307011,"0.5% or under","Before 2016",55,55,0,55,0,0,0
1307011,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307011,"0.6% to 1.25%","Total",80,75,40,40,0,0,0
1307011,"0.6% to 1.25%","Before 2016",80,75,40,40,0,0,0
1307011,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307011,"1.26% to 2%","Total",50,50,50,0,0,0,0
1307011,"1.26% to 2%","Before 2016",50,50,50,0,0,0,0
1307011,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307011,"2.1% to 3%","Total",0,0,0,0,0,0,0
1307011,"2.1% to 3%","Before 2016",0,0,0,0,0,0,0
1307011,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307011,"3.1% or over","Total",0,0,0,0,0,0,0
1307011,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307011,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307012,"Total","Total",200,170,80,95,30,0,30
1307012,"Total","Before 2016",200,170,80,95,30,0,30
1307012,"Total","2016 to 2021",0,0,0,0,0,0,0
1307012,"1+ person with limitation","Total",20,20,0,15,0,0,0
1307012,"1+ person with limitation","Before 2016",20,20,0,15,0,0,0
1307012,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307012,"Veteran in household","Total",20,20,0,0,0,0,0
1307012,"Veteran in household","Before 2016",20,20,0,0,0,0,0
1307012,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307012,"0.5% or under","Total",0,0,0,0,0,0,0
1307012,"0.5% or under","Before 2016",0,0,0,0,0,0,0
1307012,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307012,"0.6% to 1.25%","Total",100,100,20,80,0,0,0
1307012,"0.6% to 1.25%","Before 2016",100,100,20,80,0,0,0
1307012,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307012,"1.26% to 2%","Total",40,20,20,0,25,0,25
1307012,"1.26% to 2%","Before 2016",40,20,20,0,25,0,25
1307012,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307012,"2.1% to 3%","Total",45,45,45,0,0,0,0
1307012,"2.1% to 3%","Before 2016",45,45,45,0,0,0,0
1307012,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307012,"3.1% or over","Total",0,0,0,0,0,0,0
1307012,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307012,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307013,"Total","Total",2070,1820,1050,770,255,55,200
1307013,"Total","Before 2016",2005,1750,1010,740,255,55,200
1307013,"Total","2016 to 2021",70,70,40,25,0,0,0
1307013,"1+ person with limitation","Total",290,260,195,65,30,0,15
1307013,"1+ person with limitation","Before 2016",280,250,185,65,30,0,15
1307013,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307013,"Veteran in household","Total",80,80,65,15,0,0,0
1307013,"Veteran in household","Before 2016",80,80,65,15,0,0,0
1307013,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307013,"0.5% or under","Total",585,530,20,510,50,0,35
1307013,"0.5% or under","Before 2016",565,515,20,495,50,0,35
1307013,"0.5% or under","2016 to 2021",25,25,0,25,0,0,0
1307013,"0.6% to 1.25%","Total",805,640,395,245,170,40,130
1307013,"0.6% to 1.25%","Before 2016",800,630,390,240,170,40,130
1307013,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307013,"1.26% to 2%","Total",460,425,410,0,35,0,35
1307013,"1.26% to 2%","Before 2016",445,410,400,0,35,0,35
1307013,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307013,"2.1% to 3%","Total",190,190,190,0,0,0,0
1307013,"2.1% to 3%","Before 2016",165,165,165,0,0,0,0
1307013,"2.1% to 3%","2016 to 2021",25,25,25,0,0,0,0
1307013,"3.1% or over","Total",30,30,30,0,0,0,0
1307013,"3.1% or over","Before 2016",30,30,30,0,0,0,0
1307013,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307016,"Total","Total",2285,2060,1175,890,225,45,185
1307016,"Total","Before 2016",2135,1915,1065,850,220,45,175
1307016,"Total","2016 to 2021",150,145,100,40,0,0,0
1307016,"1+ person with limitation","Total",275,240,220,20,35,0,30
1307016,"1+ person with limitation","Before 2016",260,220,205,20,35,0,30
1307016,"1+ person with limitation","2016 to 2021",15,15,15,0,0,0,0
1307016,"Veteran in household","Total",110,110,50,55,0,0,0
1307016,"Veteran in household","Before 2016",90,90,40,50,0,0,0
1307016,"Veteran in household","2016 to 2021",20,20,0,0,0,0,0
1307016,"0.5% or under","Total",740,675,25,650,65,25,40
1307016,"0.5% or under","Before 2016",710,640,25,620,65,25,40
1307016,"0.5% or under","2016 to 2021",30,30,0,30,0,0,0
1307016,"0.6% to 1.25%","Total",720,605,370,230,115,20,100
1307016,"0.6% to 1.25%","Before 2016",700,590,370,220,110,20,95
1307016,"0.6% to 1.25%","2016 to 2021",15,15,0,0,0,0,0
1307016,"1.26% to 2%","Total",565,540,535,0,25,0,25
1307016,"1.26% to 2%","Before 2016",520,495,490,0,25,0,25
1307016,"1.26% to 2%","2016 to 2021",45,45,45,0,0,0,0
1307016,"2.1% to 3%","Total",180,165,165,0,0,0,0
1307016,"2.1% to 3%","Before 2016",135,125,125,0,0,0,0
1307016,"2.1% to 3%","2016 to 2021",40,40,40,0,0,0,0
1307016,"3.1% or over","Total",80,80,80,0,0,0,0
1307016,"3.1% or over","Before 2016",70,60,60,0,0,0,0
1307016,"3.1% or over","2016 to 2021",20,20,20,0,0,0,0
1307019,"Total","Total",4150,3870,2365,1505,280,0,275
1307019,"Total","Before 2016",3870,3590,2110,1480,280,0,275
1307019,"Total","2016 to 2021",280,280,255,25,0,0,0
1307019,"1+ person with limitation","Total",545,510,415,95,35,0,35
1307019,"1+ person with limitation","Before 2016",485,450,360,95,35,0,35
1307019,"1+ person with limitation","2016 to 2021",60,60,60,0,0,0,0
1307019,"Veteran in household","Total",180,170,100,70,0,0,0
1307019,"Veteran in household","Before 2016",170,160,90,70,0,0,0
1307019,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307019,"0.5% or under","Total",1350,1280,90,1185,75,0,70
1307019,"0.5% or under","Before 2016",1340,1265,90,1175,75,0,70
1307019,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307019,"0.6% to 1.25%","Total",1210,1080,780,305,130,0,130
1307019,"0.6% to 1.25%","Before 2016",1175,1045,755,290,130,0,130
1307019,"0.6% to 1.25%","2016 to 2021",35,35,20,15,0,0,0
1307019,"1.26% to 2%","Total",1065,990,980,0,75,0,75
1307019,"1.26% to 2%","Before 2016",990,915,905,0,75,0,75
1307019,"1.26% to 2%","2016 to 2021",75,75,75,0,0,0,0
1307019,"2.1% to 3%","Total",435,430,430,0,0,0,0
1307019,"2.1% to 3%","Before 2016",295,290,290,0,0,0,0
1307019,"2.1% to 3%","2016 to 2021",145,145,145,0,0,0,0
1307019,"3.1% or over","Total",85,85,85,0,0,0,0
1307019,"3.1% or over","Before 2016",75,75,75,0,0,0,0
1307019,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307022,"Total","Total",34915,19590,12840,6755,15320,1890,13435
1307022,"Total","Before 2016",32495,18750,12180,6570,13745,1835,11910
1307022,"Total","2016 to 2021",2425,840,655,185,1580,55,1530
1307022,"1+ person with limitation","Total",4635,2850,2300,555,1785,145,1635
1307022,"1+ person with limitation","Before 2016",4290,2715,2185,535,1575,140,1435
1307022,"1+ person with limitation","2016 to 2021",345,140,120,20,205,0,200
1307022,"Veteran in household","Total",1670,1050,605,440,620,50,570
1307022,"Veteran in household","Before 2016",1555,1000,570,430,550,45,505
1307022,"Veteran in household","2016 to 2021",120,50,35,0,70,0,65
1307022,"0.5% or under","Total",2170,1030,40,995,1140,755,385
1307022,"0.5% or under","Before 2016",2130,1020,40,980,1110,740,370
1307022,"0.5% or under","2016 to 2021",40,0,0,0,25,0,20
1307022,"0.6% to 1.25%","Total",10955,6165,1140,5015,4795,875,3915
1307022,"0.6% to 1.25%","Before 2016",10770,6045,1135,4905,4730,865,3865
1307022,"0.6% to 1.25%","2016 to 2021",185,120,0,110,65,0,55
1307022,"1.26% to 2%","Total",14265,6900,6235,670,7360,215,7155
1307022,"1.26% to 2%","Before 2016",13115,6640,6030,615,6470,180,6290
1307022,"1.26% to 2%","2016 to 2021",1145,255,205,55,890,30,860
1307022,"2.1% to 3%","Total",5855,4140,4080,60,1710,40,1675
1307022,"2.1% to 3%","Before 2016",5095,3855,3800,60,1240,40,1205
1307022,"2.1% to 3%","2016 to 2021",760,285,280,0,470,0,470
1307022,"3.1% or over","Total",1670,1355,1345,0,320,0,305
1307022,"3.1% or over","Before 2016",1375,1185,1180,0,190,0,175
1307022,"3.1% or over","2016 to 2021",295,165,165,0,130,0,130
1307024,"Total","Total",1320,1195,620,575,125,0,125
1307024,"Total","Before 2016",1295,1175,610,565,125,0,125
1307024,"Total","2016 to 2021",25,25,0,0,0,0,0
1307024,"1+ person with limitation","Total",160,140,80,60,20,0,20
1307024,"1+ person with limitation","Before 2016",155,135,75,60,20,0,20
1307024,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307024,"Veteran in household","Total",60,50,30,20,0,0,0
1307024,"Veteran in household","Before 2016",60,50,30,15,0,0,0
1307024,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307024,"0.5% or under","Total",465,435,0,430,30,0,30
1307024,"0.5% or under","Before 2016",455,425,0,420,30,0,30
1307024,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307024,"0.6% to 1.25%","Total",365,310,170,140,55,0,55
1307024,"0.6% to 1.25%","Before 2016",360,305,170,140,55,0,55
1307024,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307024,"1.26% to 2%","Total",355,320,310,0,40,0,40
1307024,"1.26% to 2%","Before 2016",355,320,310,0,40,0,40
1307024,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307024,"2.1% to 3%","Total",110,110,110,0,0,0,0
1307024,"2.1% to 3%","Before 2016",105,105,105,0,0,0,0
1307024,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307024,"3.1% or over","Total",25,25,25,0,0,0,0
1307024,"3.1% or over","Before 2016",25,25,25,0,0,0,0
1307024,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307028,"Total","Total",960,740,500,240,215,25,190
1307028,"Total","Before 2016",915,715,475,240,210,25,175
1307028,"Total","2016 to 2021",40,35,30,0,0,0,0
1307028,"1+ person with limitation","Total",115,95,85,0,20,0,20
1307028,"1+ person with limitation","Before 2016",115,90,75,0,20,0,20
1307028,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307028,"Veteran in household","Total",70,55,35,25,0,0,0
1307028,"Veteran in household","Before 2016",70,55,35,25,0,0,0
1307028,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307028,"0.5% or under","Total",185,170,0,165,0,0,0
1307028,"0.5% or under","Before 2016",185,170,0,165,0,0,0
1307028,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307028,"0.6% to 1.25%","Total",295,180,105,75,115,0,105
1307028,"0.6% to 1.25%","Before 2016",270,155,85,70,115,0,105
1307028,"0.6% to 1.25%","2016 to 2021",25,25,20,0,0,0,0
1307028,"1.26% to 2%","Total",335,255,255,0,80,0,75
1307028,"1.26% to 2%","Before 2016",325,250,250,0,70,0,65
1307028,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307028,"2.1% to 3%","Total",130,125,125,0,0,0,0
1307028,"2.1% to 3%","Before 2016",125,115,115,0,0,0,0
1307028,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307028,"3.1% or over","Total",0,0,0,0,0,0,0
1307028,"3.1% or over","Before 2016",0,0,0,0,0,0,0
1307028,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307029,"Total","Total",605,465,270,195,145,40,105
1307029,"Total","Before 2016",605,465,270,195,145,40,105
1307029,"Total","2016 to 2021",0,0,0,0,0,0,0
1307029,"1+ person with limitation","Total",70,50,35,0,20,0,20
1307029,"1+ person with limitation","Before 2016",70,50,35,0,20,0,20
1307029,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1307029,"Veteran in household","Total",50,50,20,30,0,0,0
1307029,"Veteran in household","Before 2016",50,50,20,30,0,0,0
1307029,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1307029,"0.5% or under","Total",115,105,0,100,0,0,0
1307029,"0.5% or under","Before 2016",115,105,0,100,0,0,0
1307029,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1307029,"0.6% to 1.25%","Total",270,170,75,90,100,30,75
1307029,"0.6% to 1.25%","Before 2016",270,170,75,90,100,30,75
1307029,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1307029,"1.26% to 2%","Total",140,105,110,0,35,0,25
1307029,"1.26% to 2%","Before 2016",140,105,110,0,35,0,25
1307029,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1307029,"2.1% to 3%","Total",60,60,55,0,0,0,0
1307029,"2.1% to 3%","Before 2016",60,60,55,0,0,0,0
1307029,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1307029,"3.1% or over","Total",25,25,25,0,0,0,0
1307029,"3.1% or over","Before 2016",25,25,25,0,0,0,0
1307029,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1307045,"Total","Total",11525,7945,5730,2220,3580,215,3365
1307045,"Total","Before 2016",10290,7440,5310,2125,2850,200,2650
1307045,"Total","2016 to 2021",1240,510,420,90,730,15,710
1307045,"1+ person with limitation","Total",1495,1080,905,175,415,0,405
1307045,"1+ person with limitation","Before 2016",1305,1010,840,175,295,0,285
1307045,"1+ person with limitation","2016 to 2021",195,75,75,0,120,0,120
1307045,"Veteran in household","Total",495,375,275,100,115,0,115
1307045,"Veteran in household","Before 2016",435,360,260,100,75,0,75
1307045,"Veteran in household","2016 to 2021",60,20,20,0,40,0,40
1307045,"0.5% or under","Total",830,625,40,585,205,85,120
1307045,"0.5% or under","Before 2016",795,600,40,560,195,85,110
1307045,"0.5% or under","2016 to 2021",35,35,0,25,0,0,0
1307045,"0.6% to 1.25%","Total",4340,2585,1060,1525,1755,100,1655
1307045,"0.6% to 1.25%","Before 2016",4100,2460,1000,1460,1635,90,1545
1307045,"0.6% to 1.25%","2016 to 2021",245,130,60,65,120,0,110
1307045,"1.26% to 2%","Total",4455,3160,3060,105,1290,30,1265
1307045,"1.26% to 2%","Before 2016",3870,2985,2880,105,885,20,865
1307045,"1.26% to 2%","2016 to 2021",585,180,180,0,410,0,400
1307045,"2.1% to 3%","Total",1540,1225,1225,0,310,0,310
1307045,"2.1% to 3%","Before 2016",1260,1130,1130,0,120,0,120
1307045,"2.1% to 3%","2016 to 2021",280,95,95,0,185,0,185
1307045,"3.1% or over","Total",360,340,340,0,20,0,20
1307045,"3.1% or over","Before 2016",270,265,265,0,0,0,0
1307045,"3.1% or over","2016 to 2021",85,75,75,0,0,0,0
1307052,"Total","Total",3290,1950,1215,735,1340,210,1125
1307052,"Total","Before 2016",2875,1805,1115,685,1065,195,875
1307052,"Total","2016 to 2021",415,145,95,45,270,20,255
1307052,"1+ person with limitation","Total",350,260,215,45,90,0,80
1307052,"1+ person with limitation","Before 2016",320,245,200,45,70,0,60
1307052,"1+ person with limitation","2016 to 2021",25,0,0,0,0,0,0
1307052,"Veteran in household","Total",160,125,60,65,45,0,30
1307052,"Veteran in household","Before 2016",145,105,60,50,35,0,30
1307052,"Veteran in household","2016 to 2021",20,15,0,0,0,0,0
1307052,"0.5% or under","Total",280,175,0,165,110,65,35
1307052,"0.5% or under","Before 2016",250,155,0,145,95,60,35
1307052,"0.5% or under","2016 to 2021",30,15,0,15,0,0,0
1307052,"0.6% to 1.25%","Total",1110,635,120,510,475,100,380
1307052,"0.6% to 1.25%","Before 2016",1050,600,105,485,455,90,365
1307052,"0.6% to 1.25%","2016 to 2021",60,35,15,25,25,0,0
1307052,"1.26% to 2%","Total",1185,540,480,60,645,35,615
1307052,"1.26% to 2%","Before 2016",975,525,465,55,450,35,415
1307052,"1.26% to 2%","2016 to 2021",215,20,10,0,195,0,195
1307052,"2.1% to 3%","Total",535,445,445,0,90,0,90
1307052,"2.1% to 3%","Before 2016",450,395,395,0,55,0,55
1307052,"2.1% to 3%","2016 to 2021",85,50,50,0,35,0,35
1307052,"3.1% or over","Total",175,155,155,0,15,0,0
1307052,"3.1% or over","Before 2016",150,135,135,0,0,0,0
1307052,"3.1% or over","2016 to 2021",25,20,20,0,0,0,0
1308001,"Total","Total",1895,1730,965,760,175,0,160
1308001,"Total","Before 2016",1825,1655,940,715,175,0,160
1308001,"Total","2016 to 2021",70,70,20,45,0,0,0
1308001,"1+ person with limitation","Total",185,160,135,25,25,0,25
1308001,"1+ person with limitation","Before 2016",185,160,135,25,25,0,25
1308001,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1308001,"Veteran in household","Total",95,85,40,45,0,0,0
1308001,"Veteran in household","Before 2016",95,85,40,45,0,0,0
1308001,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1308001,"0.5% or under","Total",595,550,0,550,45,0,40
1308001,"0.5% or under","Before 2016",570,525,0,525,45,0,40
1308001,"0.5% or under","2016 to 2021",25,25,0,25,0,0,0
1308001,"0.6% to 1.25%","Total",675,570,375,200,105,0,95
1308001,"0.6% to 1.25%","Before 2016",645,540,365,175,105,0,95
1308001,"0.6% to 1.25%","2016 to 2021",30,30,0,25,0,0,0
1308001,"1.26% to 2%","Total",455,440,425,0,15,0,15
1308001,"1.26% to 2%","Before 2016",440,425,410,0,15,0,15
1308001,"1.26% to 2%","2016 to 2021",0,0,0,0,0,0,0
1308001,"2.1% to 3%","Total",130,125,125,0,0,0,0
1308001,"2.1% to 3%","Before 2016",130,125,125,0,0,0,0
1308001,"2.1% to 3%","2016 to 2021",0,0,0,0,0,0,0
1308001,"3.1% or over","Total",50,50,50,0,0,0,0
1308001,"3.1% or over","Before 2016",45,45,45,0,0,0,0
1308001,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1308002,"Total","Total",1210,1045,625,425,165,0,150
1308002,"Total","Before 2016",1165,1005,590,415,155,0,145
1308002,"Total","2016 to 2021",45,40,40,0,0,0,0
1308002,"1+ person with limitation","Total",105,90,70,25,15,0,15
1308002,"1+ person with limitation","Before 2016",95,80,55,25,15,0,15
1308002,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1308002,"Veteran in household","Total",50,40,25,0,0,0,0
1308002,"Veteran in household","Before 2016",50,40,25,0,0,0,0
1308002,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1308002,"0.5% or under","Total",355,330,0,325,25,0,25
1308002,"0.5% or under","Before 2016",345,325,0,320,25,0,25
1308002,"0.5% or under","2016 to 2021",0,0,0,0,0,0,0
1308002,"0.6% to 1.25%","Total",440,335,245,85,110,0,95
1308002,"0.6% to 1.25%","Before 2016",440,325,240,85,110,0,95
1308002,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1308002,"1.26% to 2%","Total",295,265,255,0,30,0,30
1308002,"1.26% to 2%","Before 2016",275,250,235,0,20,0,20
