"dguid","char","period","total","o","om","onm","r","rs","rns"
1103,"1+ person with limitation","2016 to 2021",95,60,50,0,40,0,25
1103,"Veteran in household","Total",1105,840,415,420,265,40,225
1103,"Veteran in household","Before 2016",1010,790,380,410,225,30,190
1103,"Veteran in household","2016 to 2021",95,50,35,0,40,0,35
1103,"0.5% or under","Total",3690,3165,50,3115,530,250,280
1103,"0.5% or under","Before 2016",3580,3075,50,3030,500,230,270
1103,"0.5% or under","2016 to 2021",110,90,0,90,25,20,0
1103,"0.6% to 1.25%","Total",7345,4790,1700,3085,2560,730,1825
1103,"0.6% to 1.25%","Before 2016",7095,4650,1625,3020,2450,660,1785
1103,"0.6% to 1.25%","2016 to 2021",250,140,70,70,110,70,40
1103,"1.26% to 2%","Total",5730,3635,3450,185,2090,180,1915
1103,"1.26% to 2%","Before 2016",5295,3445,3270,175,1845,155,1690
1103,"1.26% to 2%","2016 to 2021",430,185,175,0,250,20,225
1103,"2.1% to 3%","Total",2015,1625,1580,45,385,0,375
1103,"2.1% to 3%","Before 2016",1770,1510,1470,35,260,0,255
1103,"2.1% to 3%","2016 to 2021",245,120,110,0,125,0,125
1103,"3.1% or over","Total",545,495,495,0,50,0,40
1103,"3.1% or over","Before 2016",465,425,425,0,40,0,40
1103,"3.1% or over","2016 to 2021",85,75,75,0,0,0,0
1201,"Total","Total",6450,5230,2190,3040,1220,175,1045
1201,"Total","Before 2016",6330,5150,2130,3025,1180,170,1010
1201,"Total","2016 to 2021",120,80,60,20,45,0,40
1201,"1+ person with limitation","Total",650,545,340,205,110,30,80
1201,"1+ person with limitation","Before 2016",640,535,335,205,110,30,80
1201,"1+ person with limitation","2016 to 2021",0,0,0,0,0,0,0
1201,"Veteran in household","Total",190,160,50,115,25,0,15
1201,"Veteran in household","Before 2016",185,160,50,115,25,0,15
1201,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1201,"0.5% or under","Total",1830,1630,0,1625,200,30,165
1201,"0.5% or under","Before 2016",1815,1610,0,1610,200,30,165
1201,"0.5% or under","2016 to 2021",15,15,0,15,0,0,0
1201,"0.6% to 1.25%","Total",2380,1800,545,1255,580,115,460
1201,"0.6% to 1.25%","Before 2016",2365,1795,545,1255,570,115,450
1201,"0.6% to 1.25%","2016 to 2021",0,0,0,0,0,0,0
1201,"1.26% to 2%","Total",1625,1220,1085,135,400,20,380
1201,"1.26% to 2%","Before 2016",1550,1185,1045,135,370,15,350
1201,"1.26% to 2%","2016 to 2021",70,40,40,0,30,0,25
1201,"2.1% to 3%","Total",505,465,445,20,40,0,35
1201,"2.1% to 3%","Before 2016",490,450,425,20,40,0,35
1201,"2.1% to 3%","2016 to 2021",15,15,15,0,0,0,0
1201,"3.1% or over","Total",110,110,105,0,0,0,0
1201,"3.1% or over","Before 2016",110,110,105,0,0,0,0
1201,"3.1% or over","2016 to 2021",0,0,0,0,0,0,0
1202,"Total","Total",11105,8410,4085,4325,2690,580,2115
1202,"Total","Before 2016",10830,8235,3960,4275,2600,575,2025
1202,"Total","2016 to 2021",270,175,120,55,90,0,90
1202,"1+ person with limitation","Total",1410,1095,795,295,320,45,275
1202,"1+ person with limitation","Before 2016",1375,1060,775,285,320,45,275
1202,"1+ person with limitation","2016 to 2021",35,35,25,0,0,0,0
1202,"Veteran in household","Total",525,410,170,245,110,20,90
1202,"Veteran in household","Before 2016",525,410,170,245,110,20,90
1202,"Veteran in household","2016 to 2021",0,0,0,0,0,0,0
1202,"0.5% or under","Total",2260,1940,0,1930,325,140,190
1202,"0.5% or under","Before 2016",2230,1920,0,1910,310,140,175
1202,"0.5% or under","2016 to 2021",30,15,0,15,0,0,0
1202,"0.6% to 1.25%","Total",4215,2940,785,2155,1275,365,915
1202,"0.6% to 1.25%","Before 2016",4160,2900,770,2125,1265,365,900
1202,"0.6% to 1.25%","2016 to 2021",55,45,0,25,0,0,0
1202,"1.26% to 2%","Total",3185,2270,2075,200,915,70,845
1202,"1.26% to 2%","Before 2016",3095,2245,2050,190,845,65,785
1202,"1.26% to 2%","2016 to 2021",90,25,20,0,65,0,60
1202,"2.1% to 3%","Total",1030,865,835,30,165,0,155
1202,"2.1% to 3%","Before 2016",985,820,790,30,165,0,155
1202,"2.1% to 3%","2016 to 2021",45,45,45,0,0,0,0
1202,"3.1% or over","Total",410,395,385,0,0,0,0
1202,"3.1% or over","Before 2016",360,345,335,0,0,0,0
1202,"3.1% or over","2016 to 2021",50,50,50,0,0,0,0
1203,"Total","Total",8040,6315,2585,3730,1730,240,1490
1203,"Total","Before 2016",7910,6260,2555,3700,1650,230,1420
1203,"Total","2016 to 2021",135,55,30,30,75,0,70
1203,"1+ person with limitation","Total",810,635,415,215,180,15,160
